state	joint	prior	likelihood	Current Tree	location.clock.rate	location.meanRate	location.rates.UK.nonUK	location.rates.nonUK.UK	location.branchRates	c_location.count[1]	c_import.count[1]	c_export.count[1]	c_allTransitions[1]
1840500	-436.43021908200114	-28.79574651886109	-407.63447256314004	495.0	0.24895532322013036	0.24895532322013011	0.16480033935292862	0.9075183289211686	0.0	79.0	75.0	2.0	77.0
1845000	-444.71719821294556	-25.256972453447005	-419.46022575949854	417.0	0.22349474316626436	0.22349474316626378	0.0338583721887415	0.9389953488363724	0.0	80.0	80.0	0.0	80.0
1849500	-431.24192191572536	-21.682881431758243	-409.5590404839671	113.0	0.19939214421373294	0.19939214421373244	0.15695051807540203	0.8001746659233208	0.0	76.0	73.0	3.0	76.0
1854000	-460.73067968126065	-27.71303282215328	-433.0176468591074	172.0	0.24479844673286447	0.24479844673286444	0.07918370449890728	1.264212182179373	0.0	82.0	80.0	2.0	82.0
1858500	-418.71638697075014	-32.492428121260076	-386.22395884949003	137.0	0.2909623050085686	0.29096230500856884	0.2246623895815598	0.8219127580033689	0.0	71.0	68.0	3.0	71.0
1863000	-431.3416895987077	-33.9004873064147	-397.441202292293	334.0	0.3021218135181516	0.3021218135181519	0.05857426169264577	0.6070021451612606	0.0	75.0	70.0	5.0	75.0
1867500	-409.38915256923525	-26.632449647169395	-382.75670292206587	326.0	0.22676324791569494	0.22676324791569424	0.410999567997729	1.510111850742756	0.0	71.0	70.0	1.0	71.0
1872000	-442.2813936525666	-30.490180954584126	-411.7912126979825	40.0	0.24052852208348474	0.24052852208348577	0.1593485157138363	3.9616517368180175	0.0	79.0	78.0	1.0	79.0
1876500	-437.83475415910067	-25.597379652956104	-412.2373745061446	97.0	0.2299624261957887	0.22996242619578797	0.10388128149878219	1.243471861606365	0.0	78.0	77.0	1.0	78.0
1881000	-437.6296092512936	-28.560443187066465	-409.0691660642271	271.0	0.24375778024219472	0.2437577802421942	0.604938385685244	1.9183438850706576	0.0	74.0	70.0	5.0	74.0
1885500	-433.72091418093163	-36.538136584755094	-397.18277759617655	225.0	0.3020348666542655	0.3020348666542673	0.5300743854571196	3.109540822209531	0.0	77.0	76.0	1.0	77.0
1890000	-457.9850568713623	-37.413406819932945	-420.57165005142934	157.0	0.27286128835806905	0.27286128835806917	1.357718619446787	6.4094560549526465	0.0	79.0	75.0	4.0	79.0
1894500	-425.090587893681	-29.389284935226456	-395.70130295845456	66.0	0.2518064082000393	0.2518064082000395	0.08483253852405559	1.0516303723816351	0.0	74.0	74.0	0.0	76.0
1899000	-449.27388144714286	-36.6813827006604	-412.5924987464825	279.0	0.2619789306543281	0.2619789306543271	1.0499334583299385	6.947448876500805	0.0	76.0	75.0	1.0	76.0
1903500	-470.5220144659193	-26.214004171106712	-444.3080102948126	461.0	0.23215061282567584	0.23215061282567445	0.060772988559864606	0.9174150102116052	0.0	83.0	81.0	2.0	83.0
1908000	-455.88138461617376	-34.78612160815742	-421.09526300801633	93.0	0.278157168360223	0.2781571683602233	0.36791073457156664	3.331286689648944	0.0	79.0	77.0	2.0	79.0
1912500	-420.66796100998624	-24.533467357856665	-396.13449365212955	210.0	0.21098703425055	0.2109870342505518	0.45684077734519357	2.447591069651833	0.0	75.0	74.0	1.0	75.0
1917000	-436.8924518595289	-24.42484783130008	-412.4676040282288	351.0	0.21899937932135916	0.21899937932135927	0.08064593649721506	1.259872454935158	0.0	79.0	79.0	0.0	79.0
1921500	-448.08871377552936	-26.94467822023701	-421.14403555529236	74.0	0.24687918258227917	0.2468791825822783	0.09657935695324958	0.8124317080546286	0.0	82.0	79.0	3.0	82.0
1926000	-411.94115461610534	-35.83372963929486	-376.1074249768105	326.0	0.29080801583621857	0.2908080158362172	0.4622915595920083	2.8322080697243965	0.0	72.0	69.0	3.0	72.0
1930500	-432.1995432268932	-32.25239562239253	-399.9471476045006	141.0	0.2680621289852503	0.268062128985251	0.4723278975332436	2.8301578910597285	0.0	75.0	69.0	6.0	75.0
1935000	-433.044428807501	-28.989555701276846	-404.05487310622414	241.0	0.25534511071150606	0.2553451107115046	0.08422812750379596	0.5675943283376782	0.0	77.0	73.0	4.0	77.0
1939500	-432.6381661370168	-35.24077989323055	-397.39738624378623	496.0	0.2906659754602878	0.290665975460288	0.8399018101922949	2.6089819187861507	0.0	74.0	69.0	6.0	78.0
1944000	-438.93958180048077	-22.82219417324018	-416.1173876272406	378.0	0.19564298148500422	0.19564298148500334	0.2582084502917902	2.707575175079263	0.0	75.0	72.0	3.0	75.0
1948500	-467.35232190978826	-31.283487674842718	-436.06883423494554	386.0	0.26748203302383655	0.26748203302383594	0.48615289633548076	1.5715777737705232	0.0	80.0	75.0	5.0	82.0
1953000	-462.26177860048176	-24.500582852674718	-437.76119574780705	232.0	0.22214752471400048	0.22214752471399904	0.1913329923373876	0.6432665213439213	0.0	83.0	81.0	2.0	83.0
