cluster,seqs,tmrca,tmrca_calendar,oldest,mostrecent,treefile,cutoff,tmrca_HPD_upper,tmrca_HPD_lower,tmrca_range_upper,tmrca_range_lower
B_DTA_MCC_305,8,2020.17624682803,2020-03-06,2020.22404371585,2020.26775956284,B-DTA-20200818.combined.MCC.tree,0.5,2020.18601846351,2020.1667996778,2020.18601846351,2020.1667996778
B_DTA_MCC_310,3,2020.16726938582,2020-03-02,2020.19398907104,2020.26775956284,B-DTA-20200818.combined.MCC.tree,0.5,2020.16726938582,2020.16726938582,2020.16726938582,2020.16726938582
B_DTA_MCC_312,4,2020.20394379568,2020-03-16,2020.2349726776,2020.31147540984,B-DTA-20200818.combined.MCC.tree,0.5,2020.22784646564,2020.16391058254,2020.23422505465,2020.11525957446
B_DTA_MCC_314,3,2020.20381305239,2020-03-16,2020.21584699454,2020.25136612022,B-DTA-20200818.combined.MCC.tree,0.5,2020.21563240373,2020.18555476271,2020.21563240373,2020.1603571359
B_DTA_MCC_316,3,2020.26790548698,2020-04-08,2020.30054644809,2020.3087431694,B-DTA-20200818.combined.MCC.tree,0.5,2020.29513642743,2020.22449177537,2020.29513642743,2020.16268680472
B_DTA_MCC_322,2,2020.21776825304,2020-03-21,2020.22404371585,2020.22404371585,B-DTA-20200818.combined.MCC.tree,0.5,2020.22393744878,2020.20001770255,2020.22393744878,2020.18255050807
B_DTA_MCC_328,2,2020.19046793404,2020-03-11,2020.19398907104,2020.19945355191,B-DTA-20200818.combined.MCC.tree,0.5,2020.19046793404,2020.19046793404,2020.19046793404,2020.19046793404
B_DTA_MCC_330,2,2020.20630872687,2020-03-17,2020.21038251366,2020.23770491803,B-DTA-20200818.combined.MCC.tree,0.5,2020.20630872687,2020.20630872687,2020.20630872687,2020.20630872687
B_DTA_MCC_333,8,2020.26887032355,2020-04-08,2020.30054644809,2020.3306010929,B-DTA-20200818.combined.MCC.tree,0.5,2020.28845663364,2020.26887032355,2020.28845663364,2020.26887032355
B_DTA_MCC_346,6,2020.2555472508,2020-04-04,2020.26775956284,2020.31147540984,B-DTA-20200818.combined.MCC.tree,0.5,2020.26775905927,2020.22542332249,2020.26775905927,2020.18306559301
B_DTA_MCC_351,3,2020.19597236389,2020-03-13,2020.2131147541,2020.25956284153,B-DTA-20200818.combined.MCC.tree,0.5,2020.19597236389,2020.19597236389,2020.19597236389,2020.19597236389
B_DTA_MCC_354,2,2020.23500584888,2020-03-27,2020.24863387978,2020.26229508197,B-DTA-20200818.combined.MCC.tree,0.5,2020.24805541224,2020.18835770801,2020.24805541224,2020.18835770801
B_DTA_MCC_356,2,2020.22525337283,2020-03-23,2020.24863387978,2020.27595628415,B-DTA-20200818.combined.MCC.tree,0.5,2020.24706827545,2020.18448814787,2020.24726884123,2020.14775127579
B_DTA_MCC_36,45,2020.13516955582,2020-02-19,2020.1693989071,2020.39890710383,B-DTA-20200818.combined.MCC.tree,0.5,2020.15471656728,2020.09936900656,2020.16143584207,2020.05815117526
B_DTA_MCC_39,3,2020.16796386353,2020-03-02,2020.17213114754,2020.25956284153,B-DTA-20200818.combined.MCC.tree,0.5,2020.17205400298,2020.15643860243,2020.17205400298,2020.12492194649
B_DTA_MCC_41,2,2020.17162635715,2020-03-04,2020.17213114754,2020.17213114754,B-DTA-20200818.combined.MCC.tree,0.5,2020.17196762073,2020.16854390677,2020.17196762073,2020.16854390677
B_DTA_MCC_42,2,2020.16543357945,2020-03-02,2020.17486338798,2020.17759562842,B-DTA-20200818.combined.MCC.tree,0.5,2020.17202773032,2020.16249037185,2020.17202773032,2020.16249037185
B_DTA_MCC_43,5,2020.16319811068,2020-03-01,2020.17486338798,2020.27322404372,B-DTA-20200818.combined.MCC.tree,0.5,2020.16319811068,2020.16319811068,2020.16319811068,2020.16319811068
B_DTA_MCC_46,16,2020.14641994361,2020-02-24,2020.17759562842,2020.26229508197,B-DTA-20200818.combined.MCC.tree,0.5,2020.14641994361,2020.14641994361,2020.14641994361,2020.14641994361
