sequence_name,country,adm1,lineage,sample_date,decimal_date,taxon_label,cluster
England/NORT-295E31/2020,UK,UK-ENG,B.1,2020-03-31,2020.24590163934,England/NORT-295E31/2020,B.1.pruned_DTA_MCC_200
England/NORT-295ED7/2020,UK,UK-ENG,B.1.5,2020-03-30,2020.24316939891,England/NORT-295ED7/2020,B.1.pruned_DTA_MCC_553
England/NORW-E6DDC/2020,UK,UK-ENG,B.1.p11,2020-04-19,2020.29781420765,England/NORW-E6DDC/2020,B.1.pruned_DTA_MCC_17
England/NORW-E6E15/2020,UK,UK-ENG,B.1.p11,2020-04-08,2020.26775956284,England/NORW-E6E15/2020,B.1.pruned_DTA_MCC_17
England/NORW-E6E24/2020,UK,UK-ENG,B.1.p11,2020-04-09,2020.27049180328,England/NORW-E6E24/2020,B.1.pruned_DTA_MCC_17
England/NORW-E6E42/2020,UK,UK-ENG,B.1,2020-04-21,2020.30327868852,England/NORW-E6E42/2020,B.1.pruned_DTA_MCC_42
England/NORW-E6EBB/2020,UK,UK-ENG,B.1.5.5,2020-04-21,2020.30327868852,England/NORW-E6EBB/2020,B.1.pruned_DTA_MCC_319
England/NORW-E6F03/2020,UK,UK-ENG,B.1.p11,2020-04-21,2020.30327868852,England/NORW-E6F03/2020,B.1.pruned_DTA_MCC_17
England/NORW-E6F12/2020,UK,UK-ENG,B.1.5.5,2020-04-18,2020.29508196721,England/NORW-E6F12/2020,B.1.pruned_DTA_MCC_319
England/NORW-E6F21/2020,UK,UK-ENG,B.1,2020-04-08,2020.26775956284,England/NORW-E6F21/2020,B.1.pruned_DTA_MCC_42
England/NORW-E6F9A/2020,UK,UK-ENG,B.1,2020-04-19,2020.29781420765,England/NORW-E6F9A/2020,B.1.pruned_DTA_MCC_42
England/NORW-E6FD6/2020,UK,UK-ENG,B.1,2020-04-22,2020.30601092896,England/NORW-E6FD6/2020,B.1.pruned_DTA_MCC_42
England/NORW-E704B/2020,UK,UK-ENG,B.1,2020-04-21,2020.30327868852,England/NORW-E704B/2020,B.1.pruned_DTA_MCC_42
England/NORW-E7069/2020,UK,UK-ENG,B.1.p11,2020-04-21,2020.30327868852,England/NORW-E7069/2020,B.1.pruned_DTA_MCC_17
